What is your age?,Gender,Class,City/ Residencial status,Type of Family,What type of video games do you typically play?,Name the video game you usually play ,How many hours do you play Video Games in  a day?,"How much time do you play ""violent"" video games specifically?",What changes on behaviour have you experienced in yourself after playing violent video games?,"If I have to resort to violence to protect my rights, I will","Once I became so mad, I broke things",When people disagree with me I get into arguments,When I argue I use abusive language,I am a hot-tempered person,I am suspicious of strangers who are too friendly,I have threatened some people whom I know,"Have you ever been involved in delinquent behaviour? like stealing, breaking things of others",Do you believe that playing violent video games can lead to aggressive behavior in real life?
20,female,Bscs ,Lahore ,joint,first person shooter,PUBG & ludo star ,more than 1 hour,more than 1 hour,Nothing much ??,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,no,no
18,male,Bscs 1st semester ,Lahore ,joint,sports,Car parking ,more than 1 hour,more than 1 hour,Car parking ,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,no,no
22,female,16th standard,Lahore ,nuclear,puzzle,Candy crush ,less than 1 hour,more than 2 hour,Sometimes I feel tired,Strongly agree,Disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,no,yes
22,female,Graduation ,Lahore,nuclear,fighting,PUBG,more than 1 hour,more than 1 hour,I rudely behave with others,Strongly agree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,no,yes
26,male,Bachelor ,Lahore ,joint,fighting,Taken,less than 1 hour,less than 1 hour,Nothing ,Disagree,Disagree,Agree,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,no,no
20,female,BBA 4th sem,Lahore,nuclear,first person shooter,pubg,more than 5 hour,more than 1 hour,Nothing. ,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,no,no
21,female,BBA 7th smester,Lahote,joint,puzzle,Candy cruch,less than 1 hour,less than 1 hour,I do not play violent game ,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,no,yes
24,female,BBA,Lahore,joint,puzzle,8 ball ,less than 1 hour,less than 1 hour,Time waste,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Agree,Strongly disagree,no,yes
19,male,Bscs 1 semester,Lahore,joint,sports,Cricket 2007,less than 1 hour,less than 1 hour,"I got mad 
",Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,no,yes
32,male,Post Graduation ,Faisalabad ,joint,puzzle,Connection ,less than 1 hour,less than 1 hour,Anxiety & stress,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,yes,yes
17,male,11th,Lahore ,joint,sports,Fifa,less than 1 hour,less than 1 hour,Nothing ,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,no,yes
19,female,12th,Lahore,joint,puzzle,1208,less than 1 hour,less than 1 hour,i don't play,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Neither agree nor disagree,Strongly disagree,no,no
20,male,12th,Zhob ,joint,sports,GTA 5,more than 1 hour,less than 1 hour,Horrible dreams ,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Agree,Neither agree nor disagree,Strongly disagree,no,yes
20,female,12th,Quetta,nuclear,sports,8 ball pool,less than 1 hour,less than 1 hour,Didn't change any type of behavior ,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,no,yes
18,female,12th,Lahore,nuclear,Temple run ,Temple run ,less than 1 hour,less than 1 hour,I can't play this game ,Strongly agree,Disagree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Agree,no,yes
16,male,10th,Zhob balochistan,joint,sports,Vice city,more than 2 hour,more than 2 hour,Vision problem,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Neither agree nor disagree,no,yes
20,male,Bscs,Lahore ,joint,sports,World cricket chempionship,less than 1 hour,less than 1 hour,Nothing ,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,no,no
18,female,12th,Lahore,joint,Cooking,Cooking games,less than 1 hour,less than 1 hour,Normal,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,no,yes
20,male,Dvm,Muzaffargarh ,joint,puzzle,Gtavoice city,less than 1 hour,less than 1 hour,Nothing,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,yes,yes
18,male,11th,ZHOB,joint,sports,8 ball pool,more than 1 hour,more than 1 hour,Intelligence stability ,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Disagree,no,yes
17,male,11th,Lahore,joint,action,PUBG,more than 3 hour,more than 3 hour,Angry ??,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,no,yes
18,male,10th,Lahore,joint,fighting,Pubg ,more than 3 hour,more than 2 hour,Mostly i become grump,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,no,yes
"18, 19",male,12th,Quetta,nuclear,fighting,PUBG,more than 2 hour,more than 2 hour,fighting behaviour,Agree,Strongly disagree,Agree,Strongly disagree,Neither agree nor disagree,Agree,Disagree,no,yes
17,male,11th,Lahore ,joint,fighting,PUBG,more than 2 hour,more than 2 hour,I feel like I?m in battle field,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,yes,yes
18,male,12th,Lahore,joint,fighting,Pubg,more than 1 hour,more than 1 hour,I feel myself aggresive,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Agree,yes,no
17,male,11th,Lahore ,nuclear,action,PUBG,more than 1 hour,more than 1 hour,Ok,Neither agree nor disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,no,no
20,male,11th,Lahore ,nuclear,sports,Ea sports cricket ,more than 1 hour,less than 1 hour,It's waste a lot of time ,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,no,no
20,male,12th,Lahore,nuclear,action,Arknights,more than 2 hour,more than 2 hour,None,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,no,no
15,male,9th,Lahore,extended,action,Pubg,more than 5 hour,more than 5 hour,NA,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,no,no
20,male,Bs,Quetta ,joint,action,Call of duty  GTA 5 Last of us ,more than 3 hour,more than 1 hour,I have bulit my English and active my mind ,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,no,yes
20,male,DVM,Layyah,joint,action,PUB G,more than 2 hour,more than 1 hour,Aggressive,Agree,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,Neither agree nor disagree,Disagree,yes,yes
18,male,12th,Lahore,joint,action,Counter Strike Global Offensive ,more than 2 hour,more than 1 hour,"Lack of focus, low temper, easily distraction, hArd time studying.",Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,yes,yes
19,male,LLB,Lahore,joint,fighting,Pubg,more than 3 hour,more than 3 hour,Nothing ,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,no,yes
18,female,11th,Lahore ,joint,sports,A-1 city ,more than 3 hour,less than 1 hour,I feel relax,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,no,yes
18,male,11th,lahore,joint,action,Pubg,more than 3 hour,more than 3 hour,i wana paly game for. freshment ,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,yes,yes
18,male,12th,Lahore,joint,sports,Funny,less than 1 hour,less than 1 hour,Wasting of time.,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,no,yes
22,male,MSC ,Lahore ,nuclear,sports,World cricket ,less than 1 hour,less than 1 hour,Wants to play more than more ,Disagree,Strongly disagree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,no,yes
25,male,Master,Kasur,joint,puzzle,Buble Gum,more than 1 hour,more than 1 hour,Time pass,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,no,yes
22,female,Master,Lahore,nuclear,puzzle,candy crash,less than 1 hour,less than 1 hour,no,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,yes,yes
17,male,10th,lahore,nuclear,GTA openworld,vicecity,more than 2 hour,more than 2 hour,during game feel good after realize waste time,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,no,yes
"20, ",male,12th,Faisalabad ,joint,action,Pubg,more than 2 hour,more than 2 hour,Abnormal ,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,no,yes
18,female,12th,Lahore ,joint,fighting,PUBG,more than 2 hour,less than 1 hour,Nothing,Disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,no,yes
17,male,10th,Balochistan ,joint,sports,Football ,more than 1 hour,more than 2 hour,No change,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Strongly disagree,no,yes
20,male,12th,Rawalpindi,joint,fighting,Pubg mobile,more than 2 hour,less than 1 hour,Just for fun,Agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,no,no
15,male,9th,Lahore,joint,action,Pubg,more than 1 hour,more than 1 hour,"I,m normal playing this game",Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,yes,yes
23,male,Msc ,Lahore,joint,fighting,Gangsters 2,more than 5 hour,more than 5 hour,Feeling aggressive and glamourised offending ,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Strongly agree,Disagree,no,yes
21,male,15th,Sheikhupura ,joint,action,Glory of generals,more than 1 hour,less than 1 hour,None,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Disagree,yes,no
20,male,Diploma ,Lahore ,joint,sports,Cricket ,less than 1 hour,less than 1 hour,Yes,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,no,yes
18,male,12th,Lahore,joint,action,Pubg,more than 3 hour,more than 2 hour,Frustatiom,Disagree,Disagree,Agree,Strongly disagree,Strongly agree,Disagree,Neither agree nor disagree,yes,yes
19,male,11th,Lahore,joint,roleplay,GTA san andreas,more than 2 hour,more than 2 hour,feel like i must play more,Agree,Disagree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,no,no
23 year old ,female,BS 4th year ,Lahore ,joint,roleplay,Pubg,less than 1 hour,more than 1 hour,Increased aggression,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,yes,no
18,male,Bachelors,Lahore,nuclear,fighting,Pubg,more than 5 hour,more than 5 hour,I feel like playing out the same violent stunts as the actors in the videogame act out.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,yes,yes
19,male,9th,Lahore,extended,action,Mortal kombat,more than 1 hour,more than 1 hour,Relaxed,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,no,no
16,male,9th,Lahore,nuclear,first person shooter,Shadow fight,less than 1 hour,less than 1 hour,Fun,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Disagree,no,yes
20,female,12th,Lahore,joint,action,Pubg,more than 2 hour,more than 2 hour,Motivated,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,yes,no
19,male,bs,lahore,joint,sports,cricket ,more than 2 hour,more than 2 hour,i feel relaxed ,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,no,no
17,male,11th,Lahore,joint,action,Freefire,more than 2 hour,more than 3 hour,Agrresive,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes,yes
18,male,11th,Lahore,joint,sports,Cricket,more than 3 hour,more than 2 hour,Irritation,Strongly disagree,Strongly agree,Agree,Agree,Disagree,Agree,Strongly disagree,yes,yes
25,male,16,Lahore ,joint,No,8poll,less than 1 hour,less than 1 hour,No,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,yes,no
25,male,M.A special Education ,Rajanpur ,joint,fighting,PUBG,more than 1 hour,less than 1 hour,No changes,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,no,yes
19,male,12th,Lahore ,nuclear,fighting,Pubg,more than 2 hour,more than 2 hour,Idk,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,yes,yes
28,male,BA (AD),Lahore ,joint,sports,Crickets ,more than 1 hour,more than 1 hour,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,no,no
20,male,12th,Lahore ,joint,sports,Pubg,less than 1 hour,more than 2 hour,Nothing ,Neither agree nor disagree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,yes,yes
19,male,12th,Quetta ,joint,sports,Ludo,more than 1 hour,more than 1 hour,Mm,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,no,yes
16,male,11th,Lahore ,joint,sports,Fifa 23 ,more than 3 hour,more than 2 hour,Turned a bit angry ,Neither agree nor disagree,Strongly disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,no,no
15,female,10th,lahore,joint,fighting,fortnite ,more than 1 hour,more than 1 hour,being angry,Disagree,Strongly disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly disagree,no,no
16,male,11th,Lahore,joint,roleplay,Elden ring/fifa,more than 1 hour,more than 1 hour,None ,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,no,no
15,male,11th,Lahore,joint,first person shooter,Call of duty,more than 3 hour,more than 3 hour,None,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Disagree,no,no
15,male,11th,Lahore ,nuclear,"Many like 1st,4th,5,6 options ","Like I said many (story games , fighting, fps ,sowrds)",more than 3 hour,more than 3 hour,"People respond differently for me it?s nothing , I feel good and less tired and I think that people feel good around me once I?m relaxed by playing games",Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,no,no
20,male,12th,Lhr,joint,sports,Cricket,more than 1 hour,less than 1 hour,Noting ,Strongly disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,no,no
23,male,M A,Shikarpur,joint,sports,Racing car,more than 2 hour,more than 2 hour,Nice,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes,yes
18,female,12th,Lahore,joint,fighting,PUBG,more than 1 hour,more than 1 hour,Nothing,Agree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Strongly disagree,no,yes
17,male,Bachelors,Lahore,joint,"Story driven action games (Telltale's The Walking Dead, The Last of Us, Red Dead Redemption etc)",World of Tanks PC,less than 1 hour,less than 1 hour,"I have since given up on video games but when I used to play, I used to feel dissatisfied by the way I was spending my time/life. Perhaps it contributed to the general feeling of demoralization. It certainly didn't improve my overall mental stability and and weakened my mental strength and resolve, perhaps even contributed to loss of emotional control.",Agree,Neither agree nor disagree,Disagree,Strongly disagree,Neither agree nor disagree,Agree,Disagree,no,no
18,male,12th,Zhob,joint,fighting,Pubg,more than 3 hour,more than 3 hour,Bad behaviour,Neither agree nor disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,no,yes
20,male,Doctor of veterinary medicine  ,Zhob,joint,fighting,Counter strike ,more than 1 hour,more than 1 hour,I am now somehow furious and depressed ,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,no,yes
15,female,9th,Lahore,joint,action,Call of Duty,more than 1 hour,more than 1 hour,Tried to Follow some Techniques ,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,no,no
15,female,9th,Lahore,nuclear,action,Free fire ,less than 1 hour,less than 1 hour,Sometimes angry on siblings ,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,yes,yes
16,female,12th,Iqbal Park Link 11rifal range road DHA phase 1main bloue vard Lahore ,nuclear,puzzle,Grand thief auto V,less than 1 hour,less than 1 hour,Can't takes its seriously.,Strongly agree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,no,no
